DataType,KNN,Dimensions,NumPoints,Time,Distribution
Bucket,7,10,800,0.604193,Gaussian
Bucket,7,10,1600,0.561497,Gaussian
Bucket,7,10,3200,0.564992,Gaussian
Bucket,7,10,6400,0.579784,Gaussian
Bucket,7,10,12800,0.603721,Gaussian
Bucket,7,10,25600,0.578544,Gaussian
Bucket,7,10,51200,0.599792,Gaussian
Bucket,8,10,50,0.546318,Gaussian
Bucket,8,10,100,0.645283,Gaussian
Bucket,8,10,200,0.574880,Gaussian
Bucket,8,10,400,0.593451,Gaussian
Bucket,8,10,800,0.575610,Gaussian
Bucket,8,10,1600,0.601118,Gaussian
Bucket,8,10,3200,0.603408,Gaussian
Bucket,8,10,6400,0.578889,Gaussian
Bucket,8,10,12800,0.645944,Gaussian
Bucket,8,10,25600,0.656300,Gaussian
Bucket,8,10,51200,0.643519,Gaussian
Bucket,9,10,50,0.563990,Gaussian
Bucket,9,10,100,0.636571,Gaussian
Bucket,9,10,200,0.603132,Gaussian
Bucket,9,10,400,0.597972,Gaussian
Bucket,9,10,800,0.649508,Gaussian
Bucket,9,10,1600,0.588942,Gaussian
Bucket,9,10,3200,0.664954,Gaussian
Bucket,9,10,6400,0.634394,Gaussian
Bucket,9,10,12800,0.659063,Gaussian
Bucket,9,10,25600,0.623820,Gaussian
Bucket,9,10,51200,0.669806,Gaussian
